,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex_female,sex_male,island_Biscoe,island_Dream,island_Torgersen
0,Adelie,39.1,18.7,181,3750,0,1,0,0,1
1,Adelie,39.5,17.4,186,3800,1,0,0,0,1
2,Adelie,40.3,18.0,195,3250,1,0,0,0,1
3,Adelie,36.7,19.3,193,3450,1,0,0,0,1
4,Adelie,39.3,20.6,190,3650,0,1,0,0,1
5,Adelie,38.9,17.8,181,3625,1,0,0,0,1
6,Adelie,39.2,19.6,195,4675,0,1,0,0,1
7,Adelie,41.1,17.6,182,3200,1,0,0,0,1
8,Adelie,38.6,21.2,191,3800,0,1,0,0,1
9,Adelie,34.6,21.1,198,4400,0,1,0,0,1
10,Adelie,36.6,17.8,185,3700,1,0,0,0,1
11,Adelie,38.7,19.0,195,3450,1,0,0,0,1
12,Adelie,42.5,20.7,197,4500,0,1,0,0,1
13,Adelie,34.4,18.4,184,3325,1,0,0,0,1
14,Adelie,46.0,21.5,194,4200,0,1,0,0,1
15,Adelie,37.8,18.3,174,3400,1,0,1,0,0
16,Adelie,37.7,18.7,180,3600,0,1,1,0,0
17,Adelie,35.9,19.2,189,3800,1,0,1,0,0
18,Adelie,38.2,18.1,185,3950,0,1,1,0,0
19,Adelie,38.8,17.2,180,3800,0,1,1,0,0
20,Adelie,35.3,18.9,187,3800,1,0,1,0,0
21,Adelie,40.6,18.6,183,3550,0,1,1,0,0
22,Adelie,40.5,17.9,187,3200,1,0,1,0,0
23,Adelie,37.9,18.6,172,3150,1,0,1,0,0
24,Adelie,40.5,18.9,180,3950,0,1,1,0,0
25,Adelie,39.5,16.7,178,3250,1,0,0,1,0
26,Adelie,37.2,18.1,178,3900,0,1,0,1,0
27,Adelie,39.5,17.8,188,3300,1,0,0,1,0
28,Adelie,40.9,18.9,184,3900,0,1,0,1,0
29,Adelie,36.4,17.0,195,3325,1,0,0,1,0
30,Adelie,39.2,21.1,196,4150,0,1,0,1,0
31,Adelie,38.8,20.0,190,3950,0,1,0,1,0
32,Adelie,42.2,18.5,180,3550,1,0,0,1,0
33,Adelie,37.6,19.3,181,3300,1,0,0,1,0
34,Adelie,39.8,19.1,184,4650,0,1,0,1,0
35,Adelie,36.5,18.0,182,3150,1,0,0,1,0
36,Adelie,40.8,18.4,195,3900,0,1,0,1,0
37,Adelie,36.0,18.5,186,3100,1,0,0,1,0
38,Adelie,44.1,19.7,196,4400,0,1,0,1,0
39,Adelie,37.0,16.9,185,3000,1,0,0,1,0
40,Adelie,39.6,18.8,190,4600,0,1,0,1,0
41,Adelie,41.1,19.0,182,3425,0,1,0,1,0
42,Adelie,36.0,17.9,190,3450,1,0,0,1,0
43,Adelie,42.3,21.2,191,4150,0,1,0,1,0
44,Adelie,39.6,17.7,186,3500,1,0,1,0,0
45,Adelie,40.1,18.9,188,4300,0,1,1,0,0
46,Adelie,35.0,17.9,190,3450,1,0,1,0,0
47,Adelie,42.0,19.5,200,4050,0,1,1,0,0
48,Adelie,34.5,18.1,187,2900,1,0,1,0,0
49,Adelie,41.4,18.6,191,3700,0,1,1,0,0
50,Adelie,39.0,17.5,186,3550,1,0,1,0,0
51,Adelie,40.6,18.8,193,3800,0,1,1,0,0
52,Adelie,36.5,16.6,181,2850,1,0,1,0,0
53,Adelie,37.6,19.1,194,3750,0,1,1,0,0
54,Adelie,35.7,16.9,185,3150,1,0,1,0,0
55,Adelie,41.3,21.1,195,4400,0,1,1,0,0
56,Adelie,37.6,17.0,185,3600,1,0,1,0,0
57,Adelie,41.1,18.2,192,4050,0,1,1,0,0
58,Adelie,36.4,17.1,184,2850,1,0,1,0,0
59,Adelie,41.6,18.0,192,3950,0,1,1,0,0
60,Adelie,35.5,16.2,195,3350,1,0,1,0,0
61,Adelie,41.1,19.1,188,4100,0,1,1,0,0
62,Adelie,35.9,16.6,190,3050,1,0,0,0,1
63,Adelie,41.8,19.4,198,4450,0,1,0,0,1
64,Adelie,33.5,19.0,190,3600,1,0,0,0,1
65,Adelie,39.7,18.4,190,3900,0,1,0,0,1
66,Adelie,39.6,17.2,196,3550,1,0,0,0,1
67,Adelie,45.8,18.9,197,4150,0,1,0,0,1
68,Adelie,35.5,17.5,190,3700,1,0,0,0,1
69,Adelie,42.8,18.5,195,4250,0,1,0,0,1
70,Adelie,40.9,16.8,191,3700,1,0,0,0,1
71,Adelie,37.2,19.4,184,3900,0,1,0,0,1
72,Adelie,36.2,16.1,187,3550,1,0,0,0,1
73,Adelie,42.1,19.1,195,4000,0,1,0,0,1
74,Adelie,34.6,17.2,189,3200,1,0,0,0,1
75,Adelie,42.9,17.6,196,4700,0,1,0,0,1
76,Adelie,36.7,18.8,187,3800,1,0,0,0,1
77,Adelie,35.1,19.4,193,4200,0,1,0,0,1
78,Adelie,37.3,17.8,191,3350,1,0,0,1,0
79,Adelie,41.3,20.3,194,3550,0,1,0,1,0
80,Adelie,36.3,19.5,190,3800,0,1,0,1,0
81,Adelie,36.9,18.6,189,3500,1,0,0,1,0
82,Adelie,38.3,19.2,189,3950,0,1,0,1,0
83,Adelie,38.9,18.8,190,3600,1,0,0,1,0
84,Adelie,35.7,18.0,202,3550,1,0,0,1,0
85,Adelie,41.1,18.1,205,4300,0,1,0,1,0
86,Adelie,34.0,17.1,185,3400,1,0,0,1,0
87,Adelie,39.6,18.1,186,4450,0,1,0,1,0
88,Adelie,36.2,17.3,187,3300,1,0,0,1,0
89,Adelie,40.8,18.9,208,4300,0,1,0,1,0
90,Adelie,38.1,18.6,190,3700,1,0,0,1,0
91,Adelie,40.3,18.5,196,4350,0,1,0,1,0
92,Adelie,33.1,16.1,178,2900,1,0,0,1,0
93,Adelie,43.2,18.5,192,4100,0,1,0,1,0
94,Adelie,35.0,17.9,192,3725,1,0,1,0,0
95,Adelie,41.0,20.0,203,4725,0,1,1,0,0
96,Adelie,37.7,16.0,183,3075,1,0,1,0,0
97,Adelie,37.8,20.0,190,4250,0,1,1,0,0
98,Adelie,37.9,18.6,193,2925,1,0,1,0,0
99,Adelie,39.7,18.9,184,3550,0,1,1,0,0
100,Adelie,38.6,17.2,199,3750,1,0,1,0,0
101,Adelie,38.2,20.0,190,3900,0,1,1,0,0
102,Adelie,38.1,17.0,181,3175,1,0,1,0,0
103,Adelie,43.2,19.0,197,4775,0,1,1,0,0
104,Adelie,38.1,16.5,198,3825,1,0,1,0,0
105,Adelie,45.6,20.3,191,4600,0,1,1,0,0
106,Adelie,39.7,17.7,193,3200,1,0,1,0,0
107,Adelie,42.2,19.5,197,4275,0,1,1,0,0
108,Adelie,39.6,20.7,191,3900,1,0,1,0,0
109,Adelie,42.7,18.3,196,4075,0,1,1,0,0
110,Adelie,38.6,17.0,188,2900,1,0,0,0,1
111,Adelie,37.3,20.5,199,3775,0,1,0,0,1
112,Adelie,35.7,17.0,189,3350,1,0,0,0,1
113,Adelie,41.1,18.6,189,3325,0,1,0,0,1
114,Adelie,36.2,17.2,187,3150,1,0,0,0,1
115,Adelie,37.7,19.8,198,3500,0,1,0,0,1
116,Adelie,40.2,17.0,176,3450,1,0,0,0,1
117,Adelie,41.4,18.5,202,3875,0,1,0,0,1
118,Adelie,35.2,15.9,186,3050,1,0,0,0,1
119,Adelie,40.6,19.0,199,4000,0,1,0,0,1
120,Adelie,38.8,17.6,191,3275,1,0,0,0,1
121,Adelie,41.5,18.3,195,4300,0,1,0,0,1
122,Adelie,39.0,17.1,191,3050,1,0,0,0,1
123,Adelie,44.1,18.0,210,4000,0,1,0,0,1
124,Adelie,38.5,17.9,190,3325,1,0,0,0,1
125,Adelie,43.1,19.2,197,3500,0,1,0,0,1
126,Adelie,36.8,18.5,193,3500,1,0,0,1,0
